,pair,freq
0,levetiracetam/C0231255,153
1,levetiracetam/C0023380,198
2,ondansetron/C0015970,191
3,miconazole/C0231255,164
4,acetaminophen/C0023380,1000
5,cefpodoxime/C0231255,3
6,carbamazepine/C0023380,8
7,carbamazepine/C0231255,11
8,gabapentin/C0015970,59
9,carbamazepine/C0015970,5
10,ondansetron/C0231255,609
11,gabapentin/C0231255,105
12,pantoprazole/C0231255,1071
13,dexamethasone/C0015970,24
14,acetaminophen/C0015970,664
15,dexamethasone/C0231255,291
16,pantoprazole/C0015970,300
17,ondansetron/C0023380,395
18,gabapentin/C0023380,101
19,pantoprazole/C0023380,641
20,levetiracetam/C0015970,104
21,acetaminophen/C0231255,1400
22,dexamethasone/C0023380,102
23,allopurinol/C0034642,72
24,donepezil/C0034642,26
25,heparin/C0231218,5318
26,paroxetine/C0231218,136
27,tolterodine/C0553668,26
28,heparin/C0034642,1210
29,metoprolol/C0034642,888
30,paroxetine/C0553668,92
31,simvastatin/C0553668,625
32,simvastatin/C2004489,644
33,losartan/C0553668,56
34,furosemide/C0553668,2527
35,heparin/C0553668,3136
36,losartan/C0231218,99
37,acetaminophen/C0034642,1077
38,losartan/C2004489,62
39,allopurinol/C0231218,277
40,furosemide/C0231218,3588
41,amlodipine/C0553668,291
42,amlodipine/C0231218,450
43,furosemide/C2004489,1979
44,paroxetine/C2004489,77
45,simvastatin/C0034642,270
46,donepezil/C0231218,94
47,allopurinol/C0553668,183
48,tolterodine/C0034642,9
49,metoprolol/C0231218,4013
50,tolterodine/C0231218,39
51,heparin/C2004489,2812
52,losartan/C0034642,23
53,allopurinol/C2004489,186
54,donepezil/C2004489,55
55,metoprolol/C0553668,2342
56,amlodipine/C0034642,113
57,donepezil/C0553668,48
58,tolterodine/C2004489,21
59,metoprolol/C2004489,2249
60,paroxetine/C0034642,30
61,furosemide/C0034642,1116
62,amlodipine/C2004489,213
63,simvastatin/C0231218,1031
64,acetaminophen/C0553668,2994
65,tenofovir/C2004489,9
66,potassium/C0553668,3174
67,clindamycin/C2004489,99
68,didanosine/C2004489,3
69,clonazepam/C0553668,128
70,lamivudine/C2004489,16
71,acetaminophen/C2004489,2969
72,fluconazole/C2004489,187
73,clindamycin/C0553668,139
74,acyclovir/C2004489,116
75,acyclovir/C0553668,154
76,fluconazole/C0553668,266
77,metoprolol/C0740441,386
78,omeprazole/C0033774,85
79,potassium/C0085593,311
80,ciprofloxacin/C0000737,249
81,potassium/C0000737,942
82,ciprofloxacin/C0221512,32
83,pantoprazole/C0033774,543
84,omeprazole/C0010200,317
85,omeprazole/C0239134,316
86,heparin/C0000737,936
87,ciprofloxacin/C0016204,96
88,metoprolol/C0085593,161
89,montelukast/C0231218,119
90,diltiazem/C0085593,32
91,diltiazem/C0010200,377
92,ciprofloxacin/C0401151,197
93,pantoprazole/C0010200,1637
94,pantoprazole/C0008031,630
95,montelukast/C2129214,6
96,omeprazole/C0740441,95
97,diltiazem/C0553668,472
98,lisinopril/C0239134,482
99,heparin/C0016204,291
100,lisinopril/C0740441,92
101,potassium/C0030193,4542
102,potassium/C0401151,717
103,montelukast/C0010200,77
104,omeprazole/C0000737,100
105,potassium/C0438716,52
106,diltiazem/C0740441,85
107,heparin/C0234238,2359
108,heparin/C2129214,455
109,ciprofloxacin/C0740441,197
110,potassium/C0010200,3039
111,lisinopril/C0085593,50
112,potassium/C0033774,900
113,diltiazem/C0221512,3
114,montelukast/C0221512,4
115,lisinopril/C0438716,14
116,montelukast/C0008031,37
117,montelukast/C0234238,57
118,ciprofloxacin/C0033774,212
119,metoprolol/C0401151,386
120,lisinopril/C0000737,115
121,pantoprazole/C0231218,3484
122,metoprolol/C0033774,529
123,pantoprazole/C0000737,754
124,diltiazem/C2129214,51
125,montelukast/C0085593,18
126,ciprofloxacin/C0010200,648
127,diltiazem/C0401151,85
128,potassium/C0239134,3035
129,omeprazole/C0008031,139
130,pantoprazole/C0740441,510
