,se,freq
0,C0231255,2451
1,C0015970,848
2,C0023380,1727
3,C0553668,4822
4,C0231218,8534
5,C0034642,1820
6,C2004489,4832
7,C0008031,1720
8,C0232493,147
9,C0401151,1139
10,C0085593,594
11,C0740441,1139
12,C0438716,108
13,C2129214,707
14,C0234238,4110
15,C0239134,4277
16,C0033774,1355
17,C0016204,490
18,C0221512,155
19,C0000737,1550
20,C0030193,6721
21,C0010200,4287
22,C0085631,2347
23,C0239340,236
24,C0086439,3112
25,C0158369,28
26,C0039070,901
27,C0234215,1270
28,C0184567,1484
29,C0009806,530
30,C0221170,321
31,C0042963,2222
32,C0007859,355
33,C0015672,584
34,C0151315,53
35,C0026821,264
36,C0030552,334
37,C0344232,313
38,C0043144,1630
39,C0024790,321
40,C0026837,517
41,C0020440,206
42,C0035508,1968
43,C0235108,333
44,C0014724,76
45,C0013395,60
46,C0004093,2399
47,C0004604,1212
48,C0010520,34
49,C0232695,366
50,C0948786,318
51,C0004134,1161
52,C0012833,543
53,C0205929,7
54,C0016167,15
55,C0042571,486
56,C0040822,781
57,C0002962,581
58,C0015468,61
59,C0027497,2145
60,C0037011,294
61,C0085624,159
62,C0700590,280
63,C0235848,98
64,C0856054,491
65,C0850149,650
66,C0476273,1216
67,C0013132,48
68,C0235299,329
69,C1291077,67
70,C0232498,251
71,C0231874,93
72,C1619733,227
73,C0858219,227
74,C0853891,227
75,C0423281,227
76,C0028259,642
77,C0018681,338
78,C0037317,87
79,C1262141,87
80,C0851578,87
81,C0016382,659
82,C0030232,441
83,C0426390,28
84,C0232849,16
85,C0235744,26
86,C0041834,1165
87,C0231875,407
88,C1112182,1
89,C1704212,99
90,C0221232,535
91,C0015644,328
92,C0393593,10
93,C0242429,229
94,C0027424,54
95,C0233763,117
96,C0277799,34
97,C0019825,79
98,C0234369,162
99,C0232495,146
100,C0281856,192
101,C0859032,415
102,C0232602,298
103,C0028961,644
104,C0856099,448
105,C0231530,325
106,C0003862,84
107,C0231528,219
108,C0000729,54
109,C0543392,161
110,C1321898,312
111,C0542476,266
112,C0863084,583
113,C0037274,583
114,C1504383,482
115,C0241136,493
116,C0003838,97
117,C0239377,162
118,C0876998,99
119,C0220870,65
120,C0032617,42
121,C0020175,179
122,C0151205,49
123,C0232488,170
124,C0013428,134
125,C0578454,38
126,C0151908,53
127,C0023222,121
128,C1135120,65
129,C0549335,23
130,C0235710,160
131,C0037384,103
132,C0687713,50
133,C0085594,113
134,C0028643,222
135,C0423618,15
136,C0038450,129
137,C0239819,53
138,C0221161,377
139,C0235886,310
140,C0574002,215
141,C0333243,275
142,C0205204,209
143,C0240449,22
144,C0234233,20
145,C0259768,28
146,C0521172,92
147,C0241379,7
148,C0751295,86
149,C0008033,108
150,C0024031,315
151,C0016199,125
152,C1260922,24
153,C0425492,24
154,C0158252,89
155,C0019214,10
156,C0151826,37
157,C0522051,12
158,C0151310,33
159,C0574068,64
160,C0024003,25
161,C0877134,38
162,C0019294,71
163,C0019270,38
164,C0427055,275
165,C0232487,110
166,C0023218,40
167,C0751466,6
168,C0085636,44
169,C0041582,105
170,C0587246,110
171,C0854303,107
172,C0151786,137
173,C0392674,83
174,C0007815,76
175,C0009024,46
176,C0423636,14
177,C0027066,41
178,C0232766,35
179,C0030196,73
180,C0857494,27
181,C0027769,129
182,C0473120,19
183,C0236178,19
184,C0240515,1
185,C0016512,80
186,C0235004,6
187,C0037763,19
188,C0235639,48
189,C0857177,19
190,C0522153,34
191,C0234376,3
192,C0235162,40
193,C0858854,128
194,C0574785,4
195,C0043352,65
196,C0028081,54
197,C0231749,123
198,C0235050,2
199,C2242996,115
200,C1504494,2
201,C0235309,36
202,C0023182,8
203,C0239266,24
204,C0236000,48
205,C0521516,24
206,C0040460,14
207,C3665346,42
208,C0152165,13
209,C0026961,75
210,C0743323,28
211,C0231856,52
212,C0392171,12
213,C0005747,11
214,C0549209,2
215,C0581870,1
216,C0241310,7
217,C0015467,42
218,C0278151,42
219,C0401149,47
220,C0221776,36
221,C0233488,5
222,C1142034,23
223,C0231688,23
224,C0575081,23
225,C0700200,48
226,C0235706,65
227,C1167842,38
228,C0036396,85
229,C0547030,24
230,C0030846,10
231,C0028778,25
232,C0011168,25
233,C0857027,10
234,C1320474,6
235,C0562483,45
236,C0241057,6
237,C0239375,2
238,C0857332,22
239,C0558489,5
240,C0312414,7
241,C0232292,85
242,C0270996,17
243,C0857257,2
244,C0234192,26
245,C0241235,16
246,C0019209,47
247,C0475765,18
248,C0149958,54
249,C0494475,54
250,C0423773,6
251,C0751495,54
252,C0150045,5
253,C0522224,5
254,C0030794,12
255,C0152030,17
256,C0742339,16
257,C1096272,8
258,C1291078,19
259,C0080233,4
260,C0271650,6
261,C0232492,10
262,C0241164,3
263,C0424810,13
264,C1168188,30
265,C0006625,61
266,C0236071,18
267,C0700184,4
268,C0025287,4
269,C0267716,32
270,C0149651,5
271,C0030252,5
272,C0268000,3
273,C0027796,32
274,C0541976,7
275,C0156273,9
276,C0240840,5
277,C0024902,9
278,C0740651,2
279,C0553713,9
280,C0158328,8
281,C0425449,38
282,C0857172,7
283,C0024528,8
284,C0221166,6
285,C0239833,26
286,C0751372,9
287,C0231613,14
288,C0427086,8
289,C0392702,14
290,C0234373,26
291,C0240211,25
292,C0232431,3
293,C0022548,2
294,C0235002,2
295,C0239385,5
296,C0239591,5
297,C0006144,8
298,C0235267,10
299,C0159060,1
