,unex_pair,freq
0,gabapentin/C0231255,52
1,pantoprazole/C0231255,426
2,levetiracetam/C0231255,57
3,dexamethasone/C0231255,76
4,acetaminophen/C0231255,590
5,carbamazepine/C0231255,7
6,ondansetron/C0231255,225
7,donepezil/C2004489,28
8,heparin/C0231218,1859
9,amlodipine/C2004489,98
10,paroxetine/C2004489,38
11,losartan/C0231218,40
12,losartan/C2004489,23
13,donepezil/C0231218,32
14,allopurinol/C0231218,104
15,paroxetine/C0231218,61
16,tolterodine/C2004489,13
17,furosemide/C0231218,1097
18,metoprolol/C2004489,968
19,simvastatin/C0231218,397
20,metoprolol/C0231218,1379
21,tolterodine/C0231218,15
22,heparin/C2004489,1334
23,allopurinol/C2004489,105
24,amlodipine/C0231218,122
25,furosemide/C2004489,726
26,simvastatin/C2004489,238
27,tenofovir/C2004489,6
28,clindamycin/C2004489,48
29,didanosine/C2004489,3
30,lamivudine/C2004489,12
31,acetaminophen/C2004489,1200
32,fluconazole/C2004489,101
33,acyclovir/C2004489,67
34,omeprazole/C0033774,42
35,ciprofloxacin/C0740441,72
36,ciprofloxacin/C0085593,24
37,omeprazole/C0010200,108
38,omeprazole/C0239134,108
39,ciprofloxacin/C0438716,2
40,omeprazole/C0438716,3
41,montelukast/C0438716,2
42,diltiazem/C0438716,2
43,montelukast/C0008031,19
44,diltiazem/C0033774,53
45,diltiazem/C0085593,13
46,omeprazole/C0085593,13
47,diltiazem/C0010200,137
48,ciprofloxacin/C0401151,72
49,ciprofloxacin/C0239134,248
50,montelukast/C0033774,15
51,ciprofloxacin/C0033774,115
52,omeprazole/C0553668,86
53,omeprazole/C0401151,21
54,omeprazole/C0740441,21
55,montelukast/C0740441,6
56,diltiazem/C0553668,131
57,ciprofloxacin/C0553668,228
58,montelukast/C0239134,35
59,ciprofloxacin/C0008031,54
60,montelukast/C0085593,7
61,diltiazem/C0008031,28
62,diltiazem/C0239134,137
63,ciprofloxacin/C0010200,249
64,diltiazem/C0401151,34
65,montelukast/C0010200,35
66,omeprazole/C0008031,46
67,montelukast/C0401151,6
68,diltiazem/C0740441,34
69,montelukast/C0553668,27
70,zolpidem/C0553668,114
71,meropenem/C0039070,24
72,meropenem/C0085631,85
73,pantoprazole/C0158369,12
74,pantoprazole/C0553668,799
75,zolpidem/C0239340,14
76,heparin/C0023380,577
77,meropenem/C0023380,51
78,heparin/C0553668,1230
79,heparin/C0239340,95
80,heparin/C0158369,9
81,pantoprazole/C0239340,56
82,meropenem/C0239340,8
83,zolpidem/C0085631,34
84,meropenem/C0158369,1
85,zolpidem/C0231218,200
86,zolpidem/C0023380,10
87,pantoprazole/C0085631,466
88,zolpidem/C0158369,2
89,pantoprazole/C0023380,336
90,atropine/C0231218,147
91,meropenem/C0553668,125
92,heparin/C0085631,805
93,terbinafine/C0231218,4
94,metoclopramide/C0234215,162
95,testosterone/C0234215,2
96,oxycodone/C0234215,76
97,clonazepam/C0234215,17
98,quetiapine/C0234215,27
99,testosterone/C0231218,5
100,terbinafine/C0234215,1
101,pantoprazole/C0231218,1325
102,acetaminophen/C0234215,531
103,quetiapine/C0231218,69
104,metoprolol/C0234215,331
105,oxycodone/C0231218,188
106,pantoprazole/C0234215,290
107,digoxin/C0234215,31
108,clonazepam/C0231218,60
109,metoclopramide/C0231218,554
110,digoxin/C0231218,134
111,acetaminophen/C0231218,1949
112,potassium/C0231218,1989
113,potassium/C0234215,527
114,potassium/C0007859,116
115,ondansetron/C0007859,48
116,metoclopramide/C0007859,24
117,nicardipine/C0030193,59
118,ondansetron/C0030193,458
